Microsoft NetStandard SDK                                                      15.0.51105       
SQL Server 2022 Full text search                                               16.0.1000.6      
vs_communitymsires                                                             17.10.34804      
Windows SDK Modern Versioned Developer Tools                                   10.1.22621.3233  
Microsoft Windows Desktop Targeting Pack - 8.0.15 (x64)                        64.60.31203      
vs_minshellinteropx64msi                                                       17.10.34803      
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030                  11.0.61030       
ClickOnce Bootstrapper Package for Microsoft .NET Framework                    4.8.09037        
Microsoft Command Line Utilities 15 for SQL Server                             15.0.1300.359    
WinRT Intellisense PPI - en-us                                                 10.1.22621.3233  
SQL Server 2022 Database Engine Shared                                         16.0.1000.6      
SQL Server 2022 SQL Diagnostics                                                16.0.1000.6      
Windows Desktop Extension SDK                                                  10.1.22621.3233  
Python 3.12.4 Development Libraries (64-bit)                                   3.12.4150.0      
Microsoft VSS Writer for SQL Server 2022                                       16.0.1000.6      
WPTx64 (DesktopEditions)                                                       10.1.22621.3233  
SQL Server Management Studio Language Pack - English                           20.2.30.0        
Microsoft SQL Server 2019 LocalDB                                              15.0.4153.1      
Windows SDK EULA                                                               10.1.22621.3233  
IntelliTraceProfilerProxy                                                      15.0.21225.01    
Aspire.Dashboard.Sdk.win-x64 (x64)                                             8.0.0.0          
Microsoft .NET Targeting Pack - 8.0.7 (x86)                                    64.28.16731      
VMware Workstation                                                             17.6.2           
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)                                  17.0.8478        
Windows Team Extension SDK                                                     10.1.22621.3233  
SQL Server 2022 Batch Parser                                                   16.0.1000.6      
Microsoft .NET Host - 8.0.15 (x64)                                             64.60.31149      
Microsoft Build of OpenJDK  17.0.13+11 (x64)                                   17.0.13.11       
SQL Server 2022 XEvent                                                         16.0.1000.6      
Python 3.12.4 pip Bootstrap (64-bit)                                           3.12.4150.0      
Windows SDK for Windows Store Apps Headers                                     10.1.22621.3233  
WinAppDeploy                                                                   10.1.22621.3233  
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                          64.28.16721      
MySQL Server 8.0                                                               8.0.40           
Application Verifier x64 External Package (DesktopEditions)                    10.1.22621.3233  
Microsoft Azure PowerShell - April 2018                                        5.7.0.18831      
Microsoft .NET Host FX Resolver - 8.0.7 (x86)                                  64.28.16731      
Windows SDK DirectX x86 Remote                                                 10.1.22621.3233  
Microsoft SQL Server 2022 RsFx Driver                                          16.0.1000.6      
Visual Studio 2017 Isolated Shell for SSMS                                     15.0.28307.421   
WinRT Intellisense IoT - en-us                                                 10.1.22621.3233  
Windows App Certification Kit x64 (OnecoreUAP)                                 10.1.22621.3233  
Windows SDK for Windows Store Apps Metadata                                    10.1.22621.3233  
Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)                               34.0.43          
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                      64.60.31149      
Dell Update for Windows Universal                                              5.0.0            
vs_minshellx64msi                                                              17.10.34804      
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)  4.8.09037        
vs_communitysharedmsi                                                          17.10.34804      
WinRT Intellisense Mobile - en-us                                              10.1.22621.3233  
WinRT Intellisense UAP - Other Languages                                       10.1.22621.3233  
WinRT Intellisense UAP - en-us                                                 10.1.22621.3233  
SQL Server Management Studio                                                   20.2.30.0        
MySQL Router 8.0                                                               8.0.40           
Microsoft Windows Desktop Runtime - 8.0.7 (x86)                                64.28.16739      
WinRT Intellisense PPI - Other Languages                                       10.1.22621.3233  
SQL Server 2022 Shared Management Objects                                      16.0.1000.6      
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433                    14.42.34433      
SDK ARM Additions                                                              10.1.22621.3233  
SQL Server 2022 Shared Management Objects Extensions                           16.0.1000.6      
Windows SDK Desktop Tools x86                                                  10.1.22621.3233  
Microsoft TestPlatform SDK Local Feed                                          17.10.0.9037153  
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)                           17.0.8478        
vs_tipsmsi                                                                     17.10.34803      
JetBrains ETW Host Service (x64)                                               16.43.0          
Microsoft Visual Studio Setup WMI Provider                                     3.9.2148.60653   
MySQL Examples and Samples                                                     8.0.40           
SupportAssist Recovery Assistant                                               5.5.10.19019     
Microsoft .NET Runtime - 8.0.7 (x86)                                           64.28.16731      
Windows SDK Facade Windows WinMD Versioned                                     10.1.22621.3233  
Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)                               34.0.95          
Windows SDK Desktop Headers arm64                                              10.1.22621.3233  
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                               48.144.23186     
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)                   64.28.16731      
Microsoft .NET SDK 8.0.303 (x64) from Visual Studio                            8.3.324.31708    
FortiClient                                                                    7.2.7.1116       
Epic Online Services                                                           2.0.44.0         
Microsoft Windows Desktop Targeting Pack - 8.0.7 (x86)                         64.28.16739      
Windows SDK for Windows Store Apps Contracts                                   10.1.22621.3233  
Microsoft .NET Runtime - 8.0.7 (x64)                                           64.28.16731      
Dell SupportAssist                                                             4.8.2.29006      
Microsoft Windows Desktop Targeting Pack - 8.0.7 (x64)                         64.28.16739      
Microsoft System CLR Types for SQL Server 2019                                 15.0.2000.5      
VS JIT Debugger                                                                17.0.125.0       
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                           24.0.28113       
Microsoft .NET AppHost Pack - 8.0.7 (x64)                                      64.28.16731      
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                  11.0.61030       
Radmin VPN 2.0.6                                                               2.0.4896.6       
Microsoft Visual C++ 2005 Redistributable                                      8.0.61001        
Microsoft .NET AppHost Pack - 8.0.15 (x64_x86)                                 64.60.31149      
SQL Server 2022 Common Files                                                   16.0.1000.6      
Windows IoT Extension SDK Contracts                                            10.1.22621.3233  
Windows SDK Desktop Libs x64                                                   10.1.22621.3233  
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                     11.0.61030       
Microsoft Azure Compute Emulator - v2.9.7                                      2.9.8999.43      
SQL Server 2022 Database Engine Services                                       16.0.1000.6      
icecap_collection_neutral                                                      17.10.34804      
Microsoft ODBC Driver 17 for SQL Server                                        17.10.6.1        
Windows SDK Signing Tools                                                      10.1.22621.3233  
Entity Framework 6.2.0 Tools  for Visual Studio 2022                           6.2.0.0          
vs_clickoncesigntoolmsi                                                        17.10.34803      
Python 3.12.4 Documentation (64-bit)                                           3.12.4150.0      
Windows SDK AddOn                                                              10.1.0.0         
Windows SDK for Windows Store Apps                                             10.1.22621.3233  
icecap_collectionresources                                                     17.10.34804      
Microsoft ASP.NET Core 8.0.15 Targeting Pack (x64)                             8.0.15.25165     
vs_clickoncebootstrappermsi                                                    17.10.34804      
